,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name
0,0.46,0.0309,4,-25.448,0,0.05,0.993,0.941,0.0885,0.143,66.835,audio_features,08y31EAPDTQR1Zsz1TN2Ur,spotify:track:08y31EAPDTQR1Zsz1TN2Ur,https://api.spotify.com/v1/tracks/08y31EAPDTQR1Zsz1TN2Ur,https://api.spotify.com/v1/audio-analysis/08y31EAPDTQR1Zsz1TN2Ur,170000,4,Sonata Fragment (Beethoven redesigned)
1,0.471,0.262,9,-19.226,0,0.0338,0.61,0.899,0.112,0.157,130.184,audio_features,4NtgGbFGznNM4qncLVL4kj,spotify:track:4NtgGbFGznNM4qncLVL4kj,https://api.spotify.com/v1/tracks/4NtgGbFGznNM4qncLVL4kj,https://api.spotify.com/v1/audio-analysis/4NtgGbFGznNM4qncLVL4kj,121532,4,Cyrin: Voyage
2,0.335,0.197,2,-26.478,0,0.0407,0.957,0.867,0.13,0.176,67.631,audio_features,746Xr23IpsPBs00SHnf5lz,spotify:track:746Xr23IpsPBs00SHnf5lz,https://api.spotify.com/v1/tracks/746Xr23IpsPBs00SHnf5lz,https://api.spotify.com/v1/audio-analysis/746Xr23IpsPBs00SHnf5lz,100600,4,Cyrin: As the Darkness Falls
3,0.261,0.143,0,-22.993,1,0.0393,0.98,0.938,0.0807,0.132,99.983,audio_features,7uyZDK8rTDvYTvCUQ6gO2e,spotify:track:7uyZDK8rTDvYTvCUQ6gO2e,https://api.spotify.com/v1/tracks/7uyZDK8rTDvYTvCUQ6gO2e,https://api.spotify.com/v1/audio-analysis/7uyZDK8rTDvYTvCUQ6gO2e,260305,4,Sincere
4,0.43,0.00897,7,-30.466,1,0.0408,0.995,0.93,0.0743,0.135,61.235,audio_features,3rvEjTUQeHxbSUIVrX8d6D,spotify:track:3rvEjTUQeHxbSUIVrX8d6D,https://api.spotify.com/v1/tracks/3rvEjTUQeHxbSUIVrX8d6D,https://api.spotify.com/v1/audio-analysis/3rvEjTUQeHxbSUIVrX8d6D,145940,4,Aria
5,0.293,0.0216,7,-30.124,0,0.0415,0.995,0.898,0.0702,0.0507,58.742,audio_features,0PO9GJ0lOcJeA3Nv60BelK,spotify:track:0PO9GJ0lOcJeA3Nv60BelK,https://api.spotify.com/v1/tracks/0PO9GJ0lOcJeA3Nv60BelK,https://api.spotify.com/v1/audio-analysis/0PO9GJ0lOcJeA3Nv60BelK,233080,5,"Debussy: Rêverie, CD 76, L. 68"
6,0.281,0.0649,10,-26.279,1,0.0408,0.988,0.958,0.123,0.23,65.986,audio_features,3Qc5QysHKtTwI1LLczjYz5,spotify:track:3Qc5QysHKtTwI1LLczjYz5,https://api.spotify.com/v1/tracks/3Qc5QysHKtTwI1LLczjYz5,https://api.spotify.com/v1/audio-analysis/3Qc5QysHKtTwI1LLczjYz5,228387,4,"Cantata, BMV 208: IX. Aria ""Schafe können sicher weiden"" (arr. for Cello & Piano)"
7,0.255,0.00578,10,-32.259,1,0.0528,0.993,0.905,0.0998,0.112,126.441,audio_features,4ump5ZxeXg6J8xOLRHxi5p,spotify:track:4ump5ZxeXg6J8xOLRHxi5p,https://api.spotify.com/v1/tracks/4ump5ZxeXg6J8xOLRHxi5p,https://api.spotify.com/v1/audio-analysis/4ump5ZxeXg6J8xOLRHxi5p,164000,5,In Plain Sight
8,0.375,0.0956,6,-22.794,1,0.0415,0.993,0.911,0.129,0.105,142.711,audio_features,2RNQHKydHXZiXE17xQxYiO,spotify:track:2RNQHKydHXZiXE17xQxYiO,https://api.spotify.com/v1/tracks/2RNQHKydHXZiXE17xQxYiO,https://api.spotify.com/v1/audio-analysis/2RNQHKydHXZiXE17xQxYiO,172266,3,From a dream
9,0.285,0.0505,9,-29.087,0,0.0409,0.984,0.8,0.0693,0.0356,69.991,audio_features,5ixgouSYpLIkMf2NV5XUty,spotify:track:5ixgouSYpLIkMf2NV5XUty,https://api.spotify.com/v1/tracks/5ixgouSYpLIkMf2NV5XUty,https://api.spotify.com/v1/audio-analysis/5ixgouSYpLIkMf2NV5XUty,206520,4,Suite from Les enfants terribles: II. The Somnambulist
