,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name
0,0.423,0.685,4,-9.651,0,0.078,6.28e-05,0.00642,0.133,0.328,162.78,audio_features,3q9G9SvgdfE1fxlvoDIb20,spotify:track:3q9G9SvgdfE1fxlvoDIb20,https://api.spotify.com/v1/tracks/3q9G9SvgdfE1fxlvoDIb20,https://api.spotify.com/v1/audio-analysis/3q9G9SvgdfE1fxlvoDIb20,167720,4,Paranoid
1,0.285,0.908,4,-4.601,0,0.0705,0.0318,0.00909,0.311,0.669,159.756,audio_features,4OROzZUy6gOWN4UGQVaZMF,spotify:track:4OROzZUy6gOWN4UGQVaZMF,https://api.spotify.com/v1/tracks/4OROzZUy6gOWN4UGQVaZMF,https://api.spotify.com/v1/audio-analysis/4OROzZUy6gOWN4UGQVaZMF,252733,4,The Trooper - 2015 Remaster
2,0.324,0.991,6,-4.465,1,0.197,0.00247,0.00895,0.104,0.195,140.245,audio_features,47FyQCd3TYLrZ9TU6MPaWK,spotify:track:47FyQCd3TYLrZ9TU6MPaWK,https://api.spotify.com/v1/tracks/47FyQCd3TYLrZ9TU6MPaWK,https://api.spotify.com/v1/audio-analysis/47FyQCd3TYLrZ9TU6MPaWK,166707,4,Ace Of Spades
3,0.249,0.943,0,-5.188,1,0.0669,0.0286,0.00401,0.162,0.458,173.671,audio_features,4Zc7TCHzuNwL0AFBlyLdyr,spotify:track:4Zc7TCHzuNwL0AFBlyLdyr,https://api.spotify.com/v1/tracks/4Zc7TCHzuNwL0AFBlyLdyr,https://api.spotify.com/v1/audio-analysis/4Zc7TCHzuNwL0AFBlyLdyr,233507,4,Run to the Hills - 2015 Remaster
4,0.308,0.866,2,-5.671,0,0.059,0.000739,0.00141,0.232,0.227,109.825,audio_features,6p8eFfPw3nQkf37aT3AkmK,spotify:track:6p8eFfPw3nQkf37aT3AkmK,https://api.spotify.com/v1/tracks/6p8eFfPw3nQkf37aT3AkmK,https://api.spotify.com/v1/audio-analysis/6p8eFfPw3nQkf37aT3AkmK,438120,4,Fear of the Dark - 2015 Remaster
5,0.453,0.905,9,-4.001,1,0.115,0.36,0.000569,0.26,0.474,137.571,audio_features,2b9lp5A6CqSzwOrBfAFhof,spotify:track:2b9lp5A6CqSzwOrBfAFhof,https://api.spotify.com/v1/tracks/2b9lp5A6CqSzwOrBfAFhof,https://api.spotify.com/v1/audio-analysis/2b9lp5A6CqSzwOrBfAFhof,296200,4,Crazy Train
6,0.42,0.93,2,-5.583,0,0.0638,0.0189,0.00675,0.264,0.344,99.641,audio_features,1s4Ie0cT6P73SRSfh3oyGW,spotify:track:1s4Ie0cT6P73SRSfh3oyGW,https://api.spotify.com/v1/tracks/1s4Ie0cT6P73SRSfh3oyGW,https://api.spotify.com/v1/audio-analysis/1s4Ie0cT6P73SRSfh3oyGW,291373,4,The Number Of The Beast - 1998 Remastered Version
7,0.304,0.909,9,-5.162,1,0.0362,0.00185,0.122,0.362,0.348,103.99,audio_features,1iGXvUsVVkYBas0Cniw6NB,spotify:track:1iGXvUsVVkYBas0Cniw6NB,https://api.spotify.com/v1/tracks/1iGXvUsVVkYBas0Cniw6NB,https://api.spotify.com/v1/audio-analysis/1iGXvUsVVkYBas0Cniw6NB,432800,4,Hallowed Be Thy Name - 1998 Remastered Version
8,0.334,0.829,9,-9.17,1,0.0995,0.00327,0.00393,0.095,0.502,157.565,audio_features,1Rhr64SXn8s4LjnpPAUHon,spotify:track:1Rhr64SXn8s4LjnpPAUHon,https://api.spotify.com/v1/tracks/1Rhr64SXn8s4LjnpPAUHon,https://api.spotify.com/v1/audio-analysis/1Rhr64SXn8s4LjnpPAUHon,354213,4,Iron Man
9,0.538,0.872,4,-7.658,0,0.0361,0.000608,0.573,0.0946,0.593,105.102,audio_features,6NwbeybX6TDtXlpXvnUOZC,spotify:track:6NwbeybX6TDtXlpXvnUOZC,https://api.spotify.com/v1/tracks/6NwbeybX6TDtXlpXvnUOZC,https://api.spotify.com/v1/audio-analysis/6NwbeybX6TDtXlpXvnUOZC,516293,4,Master Of Puppets
10,0.333,0.445,3,-16.343,0,0.0283,0.00858,0.0451,0.167,0.35,89.371,audio_features,6LtNEH08J18r4HLs4HzvqW,spotify:track:6LtNEH08J18r4HLs4HzvqW,https://api.spotify.com/v1/tracks/6LtNEH08J18r4HLs4HzvqW,https://api.spotify.com/v1/audio-analysis/6LtNEH08J18r4HLs4HzvqW,417840,4,Heaven And Hell
11,0.435,0.987,1,-4.667,0,0.16,0.000195,0.0847,0.268,0.101,103.16,audio_features,0L7zm6afBEtrNKo6C6Gj08,spotify:track:0L7zm6afBEtrNKo6C6Gj08,https://api.spotify.com/v1/tracks/0L7zm6afBEtrNKo6C6Gj08,https://api.spotify.com/v1/audio-analysis/0L7zm6afBEtrNKo6C6Gj08,365827,4,Painkiller
12,0.444,0.703,7,-9.443,1,0.0641,0.00112,0.0761,0.127,0.419,106.228,audio_features,64Ret7Tf2M8pDE4aqbW2tX,spotify:track:64Ret7Tf2M8pDE4aqbW2tX,https://api.spotify.com/v1/tracks/64Ret7Tf2M8pDE4aqbW2tX,https://api.spotify.com/v1/audio-analysis/64Ret7Tf2M8pDE4aqbW2tX,447440,4,One
13,0.298,0.885,9,-7.679,0,0.0551,0.0323,0.00711,0.288,0.57,173.304,audio_features,1sBxsfQCNIYQ77tUU073sZ,spotify:track:1sBxsfQCNIYQ77tUU073sZ,https://api.spotify.com/v1/tracks/1sBxsfQCNIYQ77tUU073sZ,https://api.spotify.com/v1/audio-analysis/1sBxsfQCNIYQ77tUU073sZ,368493,4,Highway Star - 1997 - Remaster
14,0.311,0.437,2,-13.77,1,0.0408,0.196,0.339,0.241,0.0886,132.389,audio_features,1PL2GSxmZluXBWVsfgdw79,spotify:track:1PL2GSxmZluXBWVsfgdw79,https://api.spotify.com/v1/tracks/1PL2GSxmZluXBWVsfgdw79,https://api.spotify.com/v1/audio-analysis/1PL2GSxmZluXBWVsfgdw79,377160,4,Black Sabbath
15,0.339,0.888,9,-12.179,1,0.0698,0.00293,0.318,0.296,0.319,125.086,audio_features,0bM9c5A7CterSOEssmWqAa,spotify:track:0bM9c5A7CterSOEssmWqAa,https://api.spotify.com/v1/tracks/0bM9c5A7CterSOEssmWqAa,https://api.spotify.com/v1/audio-analysis/0bM9c5A7CterSOEssmWqAa,396133,4,Holy Wars...The Punishment Due
