,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name
0,0.74,0.58,6,-6.106,1,0.13,0.381,0.0,0.113,0.328,84.072,audio_features,0z5Uqcync4DGshMmfvz0VK,spotify:track:0z5Uqcync4DGshMmfvz0VK,https://api.spotify.com/v1/tracks/0z5Uqcync4DGshMmfvz0VK,https://api.spotify.com/v1/audio-analysis/0z5Uqcync4DGshMmfvz0VK,278733,4,Dear Mama
1,0.765,0.671,9,-5.249,0,0.278,0.344,0.0,0.0506,0.798,84.5,audio_features,63BcfK6YAzJYeISaTPr6IO,spotify:track:63BcfK6YAzJYeISaTPr6IO,https://api.spotify.com/v1/tracks/63BcfK6YAzJYeISaTPr6IO,https://api.spotify.com/v1/audio-analysis/63BcfK6YAzJYeISaTPr6IO,249867,4,Big Poppa - 2007 Remaster
2,0.822,0.479,11,-15.962,1,0.271,0.719,4.42e-05,0.124,0.72,92.461,audio_features,7AgMX97ljLm9BzszyyXEYZ,spotify:track:7AgMX97ljLm9BzszyyXEYZ,https://api.spotify.com/v1/tracks/7AgMX97ljLm9BzszyyXEYZ,https://api.spotify.com/v1/audio-analysis/7AgMX97ljLm9BzszyyXEYZ,250240,4,Jazz (We've Got)
3,0.637,0.66,0,-4.792,1,0.162,0.217,0.0,0.09,0.503,90.876,audio_features,0xdYzkbBBfTevSyOJqWUSX,spotify:track:0xdYzkbBBfTevSyOJqWUSX,https://api.spotify.com/v1/tracks/0xdYzkbBBfTevSyOJqWUSX,https://api.spotify.com/v1/audio-analysis/0xdYzkbBBfTevSyOJqWUSX,329427,4,Sky's the Limit (feat. 112) - 2014 Remaster
4,0.766,0.889,1,-4.35,1,0.102,0.184,1.25e-05,0.144,0.933,169.084,audio_features,6ijxg6Xglae8LfsR8eP5x2,spotify:track:6ijxg6Xglae8LfsR8eP5x2,https://api.spotify.com/v1/tracks/6ijxg6Xglae8LfsR8eP5x2,https://api.spotify.com/v1/audio-analysis/6ijxg6Xglae8LfsR8eP5x2,215200,4,Xxplosive
5,0.875,0.745,1,-5.878,1,0.269,0.0227,2.37e-06,0.287,0.749,95.201,audio_features,30oTS7bm0aH3p7lqjEIu8q,spotify:track:30oTS7bm0aH3p7lqjEIu8q,https://api.spotify.com/v1/tracks/30oTS7bm0aH3p7lqjEIu8q,https://api.spotify.com/v1/audio-analysis/30oTS7bm0aH3p7lqjEIu8q,217440,4,Full Clip
6,0.729,0.581,5,-8.235,0,0.18,0.0777,3.81e-06,0.696,0.508,74.038,audio_features,1dF5Y2dd7Wm4wZKvVjWBpr,spotify:track:1dF5Y2dd7Wm4wZKvVjWBpr,https://api.spotify.com/v1/tracks/1dF5Y2dd7Wm4wZKvVjWBpr,https://api.spotify.com/v1/audio-analysis/1dF5Y2dd7Wm4wZKvVjWBpr,314680,4,1st of Tha Month
7,0.729,0.442,11,-8.106,0,0.285,0.151,0.0,0.189,0.757,81.029,audio_features,2xoPn7HkB4K4liMVojQQ3T,spotify:track:2xoPn7HkB4K4liMVojQQ3T,https://api.spotify.com/v1/tracks/2xoPn7HkB4K4liMVojQQ3T,https://api.spotify.com/v1/audio-analysis/2xoPn7HkB4K4liMVojQQ3T,259307,4,You Got Me
8,0.828,0.656,1,-6.571,1,0.222,0.00259,0.0024,0.144,0.709,124.751,audio_features,4GdB5M7GbwLZLouktYocFC,spotify:track:4GdB5M7GbwLZLouktYocFC,https://api.spotify.com/v1/tracks/4GdB5M7GbwLZLouktYocFC,https://api.spotify.com/v1/audio-analysis/4GdB5M7GbwLZLouktYocFC,426853,4,SpottieOttieDopaliscious
9,0.842,0.506,1,-9.332,1,0.308,0.188,0.0049,0.11,0.657,117.937,audio_features,21Or4x0SUcPHFogz1Eyi3D,spotify:track:21Or4x0SUcPHFogz1Eyi3D,https://api.spotify.com/v1/tracks/21Or4x0SUcPHFogz1Eyi3D,https://api.spotify.com/v1/audio-analysis/21Or4x0SUcPHFogz1Eyi3D,206400,4,Make You Feel That Way
10,0.803,0.578,1,-13.264,1,0.182,0.0103,0.812,0.199,0.499,92.175,audio_features,0cfqYhY6B8PbGF9vaVNUeG,spotify:track:0cfqYhY6B8PbGF9vaVNUeG,https://api.spotify.com/v1/tracks/0cfqYhY6B8PbGF9vaVNUeG,https://api.spotify.com/v1/audio-analysis/0cfqYhY6B8PbGF9vaVNUeG,160867,4,Hits from the Bong
11,0.749,0.679,5,-5.889,0,0.238,0.0177,9.33e-06,0.406,0.672,85.04,audio_features,0ZDcLapel9chZ15ZNuOdD4,spotify:track:0ZDcLapel9chZ15ZNuOdD4,https://api.spotify.com/v1/tracks/0ZDcLapel9chZ15ZNuOdD4,https://api.spotify.com/v1/audio-analysis/0ZDcLapel9chZ15ZNuOdD4,293667,4,I Ain't Mad At Cha
12,0.895,0.694,9,-4.384,1,0.275,0.176,0.0,0.292,0.632,93.944,audio_features,6Tsu3OsuMz4KEGKbOYd6A0,spotify:track:6Tsu3OsuMz4KEGKbOYd6A0,https://api.spotify.com/v1/tracks/6Tsu3OsuMz4KEGKbOYd6A0,https://api.spotify.com/v1/audio-analysis/6Tsu3OsuMz4KEGKbOYd6A0,230000,4,Hypnotize - 2007 Remaster
13,0.549,0.853,7,-4.293,1,0.188,0.0285,0.000296,0.618,0.346,94.695,audio_features,0WKYRFtH6KKbaNWjsxqm70,spotify:track:0WKYRFtH6KKbaNWjsxqm70,https://api.spotify.com/v1/tracks/0WKYRFtH6KKbaNWjsxqm70,https://api.spotify.com/v1/audio-analysis/0WKYRFtH6KKbaNWjsxqm70,211493,4,Gin And Juice (feat. Dat Nigga Daz)
14,0.873,0.719,1,-5.948,1,0.248,0.03,0.0,0.333,0.858,93.281,audio_features,2xTft6GEZeTyWNpdX94rkf,spotify:track:2xTft6GEZeTyWNpdX94rkf,https://api.spotify.com/v1/tracks/2xTft6GEZeTyWNpdX94rkf,https://api.spotify.com/v1/audio-analysis/2xTft6GEZeTyWNpdX94rkf,307773,4,All Eyez On Me
15,0.924,0.743,1,-7.375,1,0.421,0.301,0.0,0.889,0.752,117.002,audio_features,0J5Wpb11WR8RAaClP8w9H9,spotify:track:0J5Wpb11WR8RAaClP8w9H9,https://api.spotify.com/v1/tracks/0J5Wpb11WR8RAaClP8w9H9,https://api.spotify.com/v1/audio-analysis/0J5Wpb11WR8RAaClP8w9H9,264667,4,"Follow The Light (feat. Sleepy Brown, Cee-Lo, Big Gipp, Big Boi & Shuga Luv)"
