,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name
0,0.716,0.779,1,-2.203,1,0.0805,0.178,1.16e-06,0.167,0.59,99.977,audio_features,1rp986nzkyAX1wFpxzbwlC,spotify:track:1rp986nzkyAX1wFpxzbwlC,https://api.spotify.com/v1/tracks/1rp986nzkyAX1wFpxzbwlC,https://api.spotify.com/v1/audio-analysis/1rp986nzkyAX1wFpxzbwlC,213827,4,Replay
1,0.706,0.972,11,-2.359,0,0.0352,0.0226,2.57e-06,0.267,0.962,129.946,audio_features,5w18nowVMRZrC5Na9Vxoth,spotify:track:5w18nowVMRZrC5Na9Vxoth,https://api.spotify.com/v1/tracks/5w18nowVMRZrC5Na9Vxoth,https://api.spotify.com/v1/audio-analysis/5w18nowVMRZrC5Na9Vxoth,232333,4,"쏘리 쏘리 Sorry, Sorry"
2,0.756,0.93,1,-1.082,0,0.0274,0.281,0.0,0.11,0.737,99.988,audio_features,0t7kjpVLgOYITrSfFCoBEA,spotify:track:0t7kjpVLgOYITrSfFCoBEA,https://api.spotify.com/v1/tracks/0t7kjpVLgOYITrSfFCoBEA,https://api.spotify.com/v1/audio-analysis/0t7kjpVLgOYITrSfFCoBEA,201160,4,Gee
3,0.618,0.76,6,-4.312,1,0.0596,0.0066,0.0,0.127,0.541,150.0,audio_features,7GbUWl6qLW1gdngbEV2WDJ,spotify:track:7GbUWl6qLW1gdngbEV2WDJ,https://api.spotify.com/v1/tracks/7GbUWl6qLW1gdngbEV2WDJ,https://api.spotify.com/v1/audio-analysis/7GbUWl6qLW1gdngbEV2WDJ,221341,4,Monster
4,0.728,0.801,6,-4.428,0,0.0439,0.04,0.0,0.0415,0.656,123.953,audio_features,46E1ic6n099e76t5J1TbHn,spotify:track:46E1ic6n099e76t5J1TbHn,https://api.spotify.com/v1/tracks/46E1ic6n099e76t5J1TbHn,https://api.spotify.com/v1/audio-analysis/46E1ic6n099e76t5J1TbHn,190821,4,View
5,0.702,0.913,11,-2.977,1,0.0374,0.0514,3.71e-06,0.166,0.735,137.982,audio_features,0Ll92eLIHWY5gey1ISNMPi,spotify:track:0Ll92eLIHWY5gey1ISNMPi,https://api.spotify.com/v1/tracks/0Ll92eLIHWY5gey1ISNMPi,https://api.spotify.com/v1/audio-analysis/0Ll92eLIHWY5gey1ISNMPi,237680,4,YES or YES
6,0.806,0.707,7,-4.623,1,0.0307,0.331,0.0,0.294,0.746,118.009,audio_features,3d3ELsqKlQ7WA0a10Isu3l,spotify:track:3d3ELsqKlQ7WA0a10Isu3l,https://api.spotify.com/v1/tracks/3d3ELsqKlQ7WA0a10Isu3l,https://api.spotify.com/v1/audio-analysis/3d3ELsqKlQ7WA0a10Isu3l,209648,4,LOVE SCENARIO
7,0.74,0.804,3,-2.187,1,0.0546,0.411,0.0,0.0578,0.791,150.013,audio_features,7nkp1uuSbKkoxMvEs8cSw0,spotify:track:7nkp1uuSbKkoxMvEs8cSw0,https://api.spotify.com/v1/tracks/7nkp1uuSbKkoxMvEs8cSw0,https://api.spotify.com/v1/audio-analysis/7nkp1uuSbKkoxMvEs8cSw0,198796,4,Shine
8,0.781,0.683,0,-4.258,1,0.0325,0.164,1.53e-06,0.16,0.722,100.005,audio_features,6Upu6yjkdi0DVI8E3IBZEU,spotify:track:6Upu6yjkdi0DVI8E3IBZEU,https://api.spotify.com/v1/tracks/6Upu6yjkdi0DVI8E3IBZEU,https://api.spotify.com/v1/audio-analysis/6Upu6yjkdi0DVI8E3IBZEU,203427,4,Don't Wanna Cry
9,0.725,0.841,2,-3.924,1,0.0545,0.002,0.0,0.0652,0.582,130.013,audio_features,26eV0R7nbqtlzh316ncU99,spotify:track:26eV0R7nbqtlzh316ncU99,https://api.spotify.com/v1/tracks/26eV0R7nbqtlzh316ncU99,https://api.spotify.com/v1/audio-analysis/26eV0R7nbqtlzh316ncU99,230573,4,Fantastic Baby
